timestamp,snow,rain,maxwspd,precip,debris
datetime,int,int,float,float,int
T,,,,,
2012-11-07,0,1,13,0.25,27
2012-11-08,0,0,23,0.00,32
2012-11-09,0,0,19,0.00,35
2012-11-10,0,1,42,9.14,15
2012-11-11,0,1,56,7.37,17
2012-11-12,1,1,40,0.76,27
2012-11-13,0,0,27,0.00,38
2012-11-14,0,0,23,0.00,32
2012-11-15,0,0,13,0.00,34
2012-11-16,0,0,13,0.00,33
2012-11-17,0,0,19,0.00,15
2012-11-18,0,0,19,0.00,12
2012-11-19,0,1,21,1.02,59
2012-11-20,0,0,16,0.0,49
2012-11-21,0,0,23,0.00,16
2012-11-22,0,1,45,4.32,3
2012-11-23,0,0,48,0.00,24
2012-11-24,0,0,29,0.00,14
2012-11-25,0,0,24,0.00,5
2012-11-26,0,0,23,0.00,34
2012-11-27,0,0,19,0.00,46
2012-11-28,0,0,23,0.00,28
2012-11-29,0,0,24,0.00,25
2012-11-30,0,0,21,0.00,16
2012-12-01,0,0,35,0.00,3
2012-12-02,0,1,29,0.25,8
2012-12-03,0,1,45,0.0,32
2012-12-04,0,0,29,0.0,53
2012-12-05,0,0,24,0.00,46
2012-12-06,0,0,24,0.0,21
2012-12-07,0,1,21,2.03,17
2012-12-08,0,1,27,2.29,3
2012-12-09,0,1,29,4.06,7
2012-12-10,1,0,34,0.0,24
2012-12-11,1,0,34,0.0,21
2012-12-12,0,0,29,0.00,29
2012-12-13,0,0,40,0.00,28
2012-12-14,0,0,16,0.00,20
2012-12-15,0,1,32,5.33,3
2012-12-16,0,0,27,0.0,4
2012-12-17,0,0,19,0.00,22
2012-12-18,0,1,32,0.0,20
2012-12-19,0,1,32,1.02,25
2012-12-20,1,1,53,28.45,20
2012-12-21,1,0,48,0.0,16
2012-12-22,0,0,19,0.00,3
2012-12-23,0,0,24,0.00,6
2012-12-24,1,0,27,0.0,5
